frame,timestamp_seconds,left_knee_angle,right_knee_angle,left_knee_x,left_knee_y,right_knee_x,right_knee_y
1,0.0334,154.55286325688922,164.52614630411057,0.6583021879196167,0.7303996682167053,0.6264201998710632,0.7270064353942871
2,0.0667,153.71240885871546,165.91790713857958,0.6750985383987427,0.7323497533798218,0.6246833205223083,0.7286145091056824
3,0.1001,171.56043500487615,162.53376125087016,0.7033789157867432,0.743364155292511,0.616547167301178,0.7309945821762085
4,0.1334,168.92418858738037,162.78145722949583,0.6946529746055603,0.7458330988883972,0.6115105152130127,0.7328393459320068
5,0.1668,143.8934329142262,165.26755514063268,0.6530295610427856,0.7465217709541321,0.6127519011497498,0.7364132404327393
6,0.2001,141.43918307624475,167.74213401577785,0.6368088126182556,0.7473094463348389,0.6107593178749084,0.7380973100662231
7,0.2335,137.00725796920483,161.09468665955137,0.6068693399429321,0.7497921586036682,0.6026472449302673,0.7427049279212952
8,0.2669,131.45620907635927,153.8211357564721,0.5873963236808777,0.7487218976020813,0.5966748595237732,0.7415264248847961
9,0.3002,134.80308988955116,147.0887954934363,0.580601692199707,0.7450100183486938,0.5884258151054382,0.7408446669578552
10,0.3336,151.87294993817895,149.06115763794915,0.5912500023841858,0.7406701445579529,0.5849953293800354,0.7333924770355225
11,0.3669,146.74271183335392,147.22325582588863,0.5675013661384583,0.7398234605789185,0.5715588331222534,0.7322820425033569
12,0.4003,151.73149367947366,129.17449445770518,0.5613670349121094,0.7360978126525879,0.5299568772315979,0.7318590879440308
13,0.4336,156.9942323423548,134.03802789018283,0.5630933046340942,0.7346431612968445,0.5159927606582642,0.7311835289001465
14,0.467,160.43676397362867,149.21226138156803,0.5493660569190979,0.7341725826263428,0.5324419140815735,0.7313719987869263
15,0.5003,161.49062720769285,143.45320152582048,0.5590912103652954,0.7389594912528992,0.47286275029182434,0.7307248115539551
16,0.5337,153.00427704677261,152.7333847412385,0.46955573558807373,0.7298105359077454,0.5011292695999146,0.7316574454307556
17,0.5671,164.30369422705152,159.06325837800884,0.4588199555873871,0.7292540073394775,0.5136118531227112,0.735820472240448
18,0.6004,168.2071971021008,164.85050156252663,0.44795599579811096,0.7288095951080322,0.5227689743041992,0.7403401732444763
19,0.6338,176.06591924046575,171.88206748445884,0.45079630613327026,0.7303918600082397,0.5275243520736694,0.7456935048103333
20,0.6671,171.98822462165447,168.142469734166,0.43659529089927673,0.730756402015686,0.5179170966148376,0.7467644214630127
21,0.7005,169.64047318382686,166.29503316007046,0.4280332326889038,0.7357688546180725,0.5133294463157654,0.7468208074569702
22,0.7338,164.84035191927705,165.92819850128066,0.41613590717315674,0.7384310960769653,0.5073542594909668,0.7469711303710938
